Change Component DesignItemId : Designator=C56 Old DesignItemId=CAP1211 New DesignItemId=CAP2425
Change Component Footprint: Designator=C56 Old Footprint=CAP_C_0805 New Footprint=CAP_C_0402
Change Component Description : Designator=C56 Old Description=Capacitor New Description=
Change component parameters: Designator = "C56" ("C56"); Footprint = "CAP_C_0805"; UniqueID = "\WLUXIRBX" ("\WLUXIRBX")
Change component parameters (AddParameter): Name = "Category"; Value = "Capacitor"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "SVN Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://chn-vm-apps.microchip.com/mchprepo/parts/Datasheets/mlcc_commercial_lowprofile_en.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Local Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "C:\ALTIUM_WORK\00001_MCHP-CDB\Datasheets\mlcc_commercial_lowprofile_en.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "Open Symbol"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = "C:\ALTIUM_WORK\00001_MCHP-CDB\Library\LibraryRefs\Capacitor NP.SchLib"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4Description"; Value = "Open Footprint"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = "C:\ALTIUM_WORK\00001_MCHP-CDB\Library\Footprints\CAP_C_0402.PcbLib"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink5Description"; Value = "Open Footprint 2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink6Description"; Value = "Open Footprint 3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink7Description"; Value = "Open Footprint 4"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Description_"; Value = "1UF 0402 CER 25V 10% X5R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dev Tools Status"; Value = "Design"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer 1"; Value = "TDK Corporation"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number 1"; Value = "CGB2A1X5R1E105K033BC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MCHP-ID"; Value = "CAP2425"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-55C to +85C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Owner"; Value = "Tim Moffat"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "0402"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Populated"; Value = "YES"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Quantity Override"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Restricted Sourcing"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Revision"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Status"; Value = "MCL Design"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "445-13185-1-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "Capacitor NP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = "X5R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type"; Value = "Ceramic"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "1uf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage"; Value = "25V"; VariantName = "[No Variations]"
