Altium Designer Pick and Place Locations
C:\Users\A19614\OneDrive - Microchip Technology Inc\PROJECTS\WIP_Projects\dsPICHW\dsPIC33CDVC-Drone-ESC-Reference-Design\Rev2.0\04-12307 Rev2\Project_Outputs\DevTools\02-01243-R2_PNP\02-01243-R2_PNP.csv

========================================================================================================================
File Design Information:

Date:       30/01/26
Time:       16:25
Revision:   adbf8142ae600a924dfb7ed2f63f33920de470c2
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"LABEL1","08-10015","BottomLayer","08-10015","-398.1492","-458.3766","180",""
"FD6","FIDUCIAL ROUND","BottomLayer","Fiducial_1mm","53.6804","31.7500","180","Fiducial"
"PAD2","Rubber Pad Cylindrical","BottomLayer","BUMP_3M_SJ61A1_CYLINDRICAL_BLACK_D7.9H5.08","-398.1492","-458.3766","180",""
"FD2","FIDUCIAL ROUND","TopLayer","Fiducial_1mm","1.1982","1.3944","0","Fiducial"
"FD3","FIDUCIAL ROUND","TopLayer","Fiducial_1mm","53.7982","1.0944","0","Fiducial"
"IBUS","Test Point No BOM","TopLayer","TP_TH_0.7PADX0.4HOLE","11.1177","21.3583","180","Test Point"
"PAD3","Rubber Pad Cylindrical","BottomLayer","BUMP_3M_SJ61A1_CYLINDRICAL_BLACK_D7.9H5.08","-398.1492","-458.3766","180",""
"PAD1","Rubber Pad Cylindrical","BottomLayer","BUMP_3M_SJ61A1_CYLINDRICAL_BLACK_D7.9H5.08","-398.1492","-458.3766","180",""
"FD4","FIDUCIAL ROUND","BottomLayer","Fiducial_1mm","1.2000","1.3888","180","Fiducial"
"FD5","FIDUCIAL ROUND","BottomLayer","Fiducial_1mm","53.8018","1.0944","180","Fiducial"
"FD1","FIDUCIAL ROUND","TopLayer","Fiducial_1mm","6.9982","31.5944","0","Fiducial"
"PHASE_C","Test Point No BOM","TopLayer","TP_3.0X2.3X1.3HOLE","52.8000","27.7505","90","Test Point"
"PHASE_B","Test Point No BOM","TopLayer","TP_3.0X2.3X1.3HOLE","52.8000","16.5003","90","Test Point"
"PHASE_A","Test Point No BOM","TopLayer","TP_3.0X2.3X1.3HOLE","52.8000","5.2500","90","Test Point"
"Rsh1","Resistor","TopLayer","RES_C_2512","40.2000","9.8667","270","Resistor"
"R111","Resistor","BottomLayer","RES_C_0603","33.0001","27.1714","180","Resistor"
"AUX3","Test Point No BOM","TopLayer","CON_TP_SMD_D25mil_NoSilk","13.5227","4.6928","90","Test Point"
"AUX2","Test Point No BOM","TopLayer","TP_TH_0.7PADX0.4HOLE","12.6285","6.6419","90","Test Point"
"AUX1","Test Point No BOM","TopLayer","CON_TP_SMD_D25mil_NoSilk","9.5651","11.0799","90","Test Point"
"VB","Test Point No BOM","TopLayer","TP_TH_0.7PADX0.4HOLE","32.3655","15.8678","270","Test Point"
"RSVD2","Test Point No BOM","TopLayer","CON_TP_SMD_D25mil_NoSilk","14.3761","5.5588","90","Test Point"
"RSVD1","Test Point No BOM","TopLayer","CON_TP_SMD_D25mil_NoSilk","15.3591","4.7179","90","Test Point"
"R1","Resistor","TopLayer","RES_C_0402","4.6000","22.8500","0","Resistor"
"C6","Capacitor NP","TopLayer","CAP_C_0402","4.6000","23.8257","180",""
"R154","Resistor","BottomLayer","RES_C_0603","41.5186","7.9282","270","Resistor"
"R2","Resistor","TopLayer","RES_C_0402","10.6914","18.1977","180","Resistor"
"C1","Capacitor NP","TopLayer","CAP_C_0402","10.6914","17.1054","180",""
"HVDD","Test Point No BOM","TopLayer","TP_1.1x0.6","43.8750","31.4500","90","Test Point"
"C3","Capacitor POL","TopLayer","CAP_RAD_P3.5D8H13_WE","24.3000","28.4727","180","Capacitor"
"J5","Header 1x2","TopLayer","HDR_M_2.54_1x2_TH_V_SAM_TSW-102-08-G-S","2.0240","29.4987","270",""
"J4","Header 1x4","TopLayer","HDR_M_2.54_1x4","28.5300","2.1500","0",""
"J3","Header 1x3","TopLayer","HDR_M_2.54_1x3_TH_V_SAM_TSW-103-08-G-S","2.0740","7.1193","270",""
"WAKE","Test Point No BOM","TopLayer","CON_TP_SMD_D25mil_NoSilk","23.6080","12.0493","90","Test Point"
"TEMP","Test Point No BOM","TopLayer","TP_TH_0.7PADX0.4HOLE","4.3340","10.5230","90","Test Point"
"R11","Resistor","TopLayer","RES_C_0402","4.2025","12.0299","270","Resistor"
"R12","Resistor","TopLayer","RES_C_0402","4.6524","20.1310","0","Resistor"
"R9","Resistor","BottomLayer","RES_C_2512","20.1000","24.0500","180","Resistor"
"LSC","Test Point No BOM","TopLayer","TP_TH_0.7PADX0.4HOLE","35.7373","21.3873","90","Test Point"
"LSB","Test Point No BOM","TopLayer","TP_TH_0.7PADX0.4HOLE","35.5439","16.9003","0","Test Point"
